"contrast","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"LSTM - Attn_AbsPE","ent",0.0316750750060545,0.0106728471459108,134.109741487076,2.96781866853501,0.0536247200065413,-0.000275116475892116,0.0636252664880012
"LSTM - Attn_RoPE","ent",0.028656887448127,0.0106728471459106,134.109742151867,2.68502743985302,0.110115619015401,-0.0032933040314044,0.0606070789276584
"LSTM - Attn_AbsPE_H80","ent",0.0298579315644658,0.0106728471459108,134.109741458252,2.79756012208098,0.0835985833184294,-0.00209225991758059,0.0618081230465123
"LSTM - Attn_RoPE_H80","ent",0.0225971806419025,0.0106728471459111,134.109742583982,2.11725890317465,0.348663871154381,-0.00935301083605306,0.054547372119858
"Attn_AbsPE - Attn_RoPE","ent",-0.00301818755792751,0.0103677917620284,119.688266372845,-0.291111899930464,0.999948456545671,-0.0341122508599486,0.0280758757440936
"Attn_AbsPE - Attn_AbsPE_H80","ent",-0.00181714344158869,0.0103677917620286,119.688266039485,-0.175268126839109,0.999997454364631,-0.0329112067450889,0.0292769198619115
"Attn_AbsPE - Attn_RoPE_H80","ent",-0.00907789436415208,0.0103677917620284,119.6882649501,-0.875586100928406,0.975533151662709,-0.0401719576724908,0.0220161689441867
"Attn_RoPE - Attn_AbsPE_H80","ent",0.00120104411633882,0.0103677917620285,119.688266336246,0.115843773091353,0.999999785277617,-0.0298930191858501,0.0322951074185277
"Attn_RoPE - Attn_RoPE_H80","ent",-0.00605970680622456,0.0103677917620283,119.688265239689,-0.584474200997946,0.997152852910568,-0.0371537701132759,0.0250343565008268
"Attn_AbsPE_H80 - Attn_RoPE_H80","ent",-0.00726075092256338,0.0103677917620284,119.688264868897,-0.700317974089293,0.992354098447973,-0.0383548142312614,0.0238333123861346
