"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"LSTM - Attn_AbsPE","test","noent",0.23196060512662,0.0367212169345546,126.935719352141,6.31680059895687,8.60514964839965e-08,0.121937335664272,0.341983874588968
"LSTM - Attn_RoPE","test","noent",0.222502766612902,0.0367212169345541,126.935720025346,6.05924272633595,3.00925633744953e-07,0.112479497159943,0.33252603606586
"LSTM - Attn_AbsPE_H80","test","noent",0.292326964001423,0.0367212169345544,126.935719200018,7.96071013992854,1.73887571008891e-11,0.18230369453694,0.402350233465906
"LSTM - Attn_RoPE_H80","test","noent",0.282963456636922,0.0367212169345543,126.935719451113,7.70572111325254,6.8310357370649e-11,0.172940187175948,0.392986726097897
"Attn_AbsPE - Attn_RoPE","test","noent",-0.00945783851371836,0.0367212169345541,126.93572037921,-0.25755787262101,0.999975038612172,-0.119481107961728,0.100565430934291
"Attn_AbsPE - Attn_AbsPE_H80","test","noent",0.0603663588748026,0.0367212169345544,126.935720399072,1.64390954097162,0.654233639433419,-0.0496569105729339,0.170389628322539
"Attn_AbsPE - Attn_RoPE_H80","test","noent",0.0510028515103024,0.0367212169345544,126.935720119412,1.38892051429562,0.80680360548361,-0.0590204179413482,0.161026120961953
"Attn_RoPE - Attn_AbsPE_H80","test","noent",0.069824197388521,0.0367212169345538,126.935720201833,1.90146741359266,0.483190512637564,-0.0401990720619747,0.179847466839017
"Attn_RoPE - Attn_RoPE_H80","test","noent",0.0604606900240207,0.036721216934554,126.935720171763,1.64647838691665,0.652558785567192,-0.049562579426895,0.170483959474937
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","noent",-0.00936350736450021,0.036721216934554,126.935720103557,-0.254989026676001,0.999976474892688,-0.119386776816373,0.100659762087373
"SRN - GRU","train","ent",0.0106372459831198,0.0108697863614701,137.592006653927,0.978606720443508,0.957832676903552,-0.0218899462556259,0.0431644382218655
"SRN - LSTM","train","ent",0.00746104130114999,0.0108697863614701,137.592006423521,0.686401834685269,0.993167422125654,-0.0250661509384024,0.0399882335407023
"SRN - Attn_AbsPE","train","ent",0.038558759687872,0.0108697863614701,137.592006718481,3.54733371987424,0.00938997261269947,0.0060315674493544,0.0710859519263895
"SRN - Attn_RoPE","train","ent",0.0351786318270877,0.0108697863614701,137.592006375043,3.23636828335327,0.0248868632264746,0.00265143958736355,0.0677058240668119
