"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"Attn_AbsPE_H80 - Attn_RoPE_H80","train",0.0117442000000003,0.00737597944387378,379.371266744318,1.59222244169276,0.687451001043248,-0.0101199741442353,0.033608374144236
"SRN - GRU","test",0.144120089583185,0.0386378909800004,60.3252282567274,3.73001957218068,0.00736380378586166,0.0262745890671274,0.261965590099242
"SRN - LSTM","test",0.102975614583145,0.0386378909800002,60.3252282612547,2.66514584443667,0.125252807284588,-0.0148698859326069,0.220821115098896
"SRN - Attn_AbsPE","test",0.342258515625013,0.0386378909800003,60.3252281985578,8.85810552657163,5.44633227406166e-11,0.224413015105097,0.460104016144928
"SRN - Attn_RoPE","test",0.360207895833313,0.0386378909800007,60.3252282417915,9.32265935580593,2.59223753573679e-11,0.242362395316265,0.47805339635036
"SRN - Attn_AbsPE_H80","test",0.427806084375018,0.0386378909800001,60.3252281489079,11.072190368684,2.02572403296131e-11,0.309960583851808,0.545651584898228
"SRN - Attn_RoPE_H80","test",0.409838533333398,0.0386378909800001,60.3252282140334,10.6071662541193,2.03057570757892e-11,0.29199303281451,0.527684033852285
"GRU - LSTM","test",-0.04114447500004,0.0386378909800009,60.3252283896078,-1.064873727744,0.935837900039727,-0.158989975507284,0.0767010255072037
"GRU - Attn_AbsPE","test",0.198138426041828,0.0386378909800008,60.3252284322599,5.12808595439088,6.47843074229604e-05,0.0802929255374079,0.315983926546248
"GRU - Attn_RoPE","test",0.216087806250128,0.0386378909800011,60.3252284374017,5.59263978362521,1.15787842434045e-05,0.0982423057460555,0.333933306754201
"GRU - Attn_AbsPE_H80","test",0.283685994791834,0.0386378909800008,60.3252283153878,7.34217079650314,1.31645347956066e-08,0.165840494279667,0.401531495304001
"GRU - Attn_RoPE_H80","test",0.265718443750213,0.0386378909800007,60.3252284062078,6.87714668193851,8.1775339388912e-08,0.147872943244065,0.383563944256362
"LSTM - Attn_AbsPE","test",0.239282901041868,0.0386378909800008,60.3252283957375,6.19295968213489,1.1734901832483e-06,0.121437400535029,0.357128401548707
"LSTM - Attn_RoPE","test",0.257232281250168,0.0386378909800012,60.3252284313321,6.6575135113692,1.93131484249598e-07,0.139386780745683,0.375077781754654
"LSTM - Attn_AbsPE_H80","test",0.324830469791874,0.0386378909800007,60.3252283274875,8.40704452424715,2.19473550444604e-10,0.206984969280505,0.442675970303242
"LSTM - Attn_RoPE_H80","test",0.306862918750253,0.0386378909800007,60.3252284028865,7.94202040968252,1.2581755637342e-09,0.189017418243888,0.424708419256618
"Attn_AbsPE - Attn_RoPE","test",0.0179493802082999,0.0386378909800008,60.3252284113397,0.464553829234381,0.999187527123789,-0.0998961202974967,0.135794880714097
"Attn_AbsPE - Attn_AbsPE_H80","test",0.0855475687500056,0.0386378909800002,60.3252284181572,2.21408484211229,0.303561494292586,-0.0322979317553367,0.203393069255348
"Attn_AbsPE - Attn_RoPE_H80","test",0.0675800177083851,0.0386378909800005,60.3252284766436,1.74906072754761,0.586648709004465,-0.0502654827930873,0.185425518209858
"Attn_RoPE - Attn_AbsPE_H80","test",0.0675981885417057,0.0386378909800008,60.3252284150947,1.74953101287787,0.586340664230896,-0.0502473119638469,0.185443689047258
"Attn_RoPE - Attn_RoPE_H80","test",0.0496306375000852,0.0386378909800007,60.3252284549636,1.28450689831322,0.856325680386028,-0.0682148630028224,0.167476138002993
"Attn_AbsPE_H80 - Attn_RoPE_H80","test",-0.0179675510416205,0.0386378909800005,60.3252284278462,-0.465024114564658,0.999182826922573,-0.135813051546325,0.0998779494630842
