"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - Attn_RoPE_H80","test",0.0772562140617075,0.0217133414865401,132.119305941561,3.55800668034434,0.00916449616626092,0.0122403090259499,0.142272119097465
"GRU - LSTM","test",-0.0233745753125844,0.0215605182563353,128.46045323849,-1.08413791517818,0.931736479832774,-0.0879613538172589,0.0412122031920901
"GRU - Attn_AbsPE","test",0.117329444999306,0.0217133414865401,132.119309091047,5.40356467345377,6.07244600070445e-06,0.0523135399875381,0.182345350011074
"GRU - Attn_RoPE","test",-0.0264002700006075,0.0217133414865403,132.119308968566,-1.21585477836162,0.886900350083646,-0.0914161750133084,0.0386156350120935
"GRU - Attn_AbsPE_H80","test",0.139426158124281,0.0217133414865404,132.119309420335,6.42122071403464,4.67659321268243e-08,0.0744102531150235,0.204442063133539
"GRU - Attn_RoPE_H80","test",0.0455161024993905,0.0217133414865405,132.119305299325,2.09622745203011,0.361026564595135,-0.0194998025412622,0.110532007540043
"LSTM - Attn_AbsPE","test",0.140704020311891,0.0217133414865396,132.119308685668,6.48007218967724,3.48237145786356e-08,0.0756881152970369,0.205719925326744
"LSTM - Attn_RoPE","test",-0.00302569468802306,0.0217133414865398,132.119308211862,-0.13934726213829,0.999999355080424,-0.0680415997064795,0.0619902103304334
"LSTM - Attn_AbsPE_H80","test",0.162800733436866,0.02171334148654,132.119308367852,7.49772823025813,1.76441083965528e-10,0.0977848284195842,0.227816638454147
"LSTM - Attn_RoPE_H80","test",0.0688906778119749,0.02171334148654,132.11930468667,3.1727349682535,0.0302288575002834,0.00387477276664887,0.133906582857301
"Attn_AbsPE - Attn_RoPE","test",-0.143729714999914,0.0215605182563335,128.460414915764,-6.66633859590516,1.46365903841428e-08,-0.208316493811338,-0.0791429361884896
"Attn_AbsPE - Attn_AbsPE_H80","test",0.0220967131249751,0.0215605182563334,128.460416376028,1.02486929406181,0.947395186306833,-0.0424900656747499,0.0866834919247
"Attn_AbsPE - Attn_RoPE_H80","test",-0.0718133424999157,0.0215605182563334,128.460414426944,-3.3307799769062,0.018955275318406,-0.136400121315253,-0.00722656368457841
"Attn_RoPE - Attn_AbsPE_H80","test",0.165826428124889,0.0215605182563336,128.46041279397,7.69120788996691,7.01674274239394e-11,0.101239649296486,0.230413206953291
"Attn_RoPE - Attn_RoPE_H80","test",0.071916372499998,0.0215605182563335,128.460411874034,3.33555861899897,0.0186799925028386,0.0073295936642376,0.136503151335758
"Attn_AbsPE_H80 - Attn_RoPE_H80","test",-0.0939100556248908,0.0215605182563335,128.460412840669,-4.35564927096797,0.00052570444537503,-0.158496834452929,-0.0293232767968522
