"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - Attn_RoPE_H80","train","ent",0.0512101029849671,0.00767077405176622,150.877021131565,6.67600200962454,9.22444431949998e-09,0.028285784816487,0.0741344211534471
"GRU - LSTM","train","ent",0.0014084597014908,0.00627258871749911,77.2613873865751,0.224542013660407,0.999988603512685,-0.017581109641539,0.0203980290445206
"GRU - Attn_AbsPE","train","ent",0.0402456402983946,0.00767077405176624,150.877020792343,5.24662048794512,1.06074648775767e-05,0.0173213221292134,0.0631699584675758
"GRU - Attn_RoPE","train","ent",0.0286546388058576,0.00767077405176624,150.877020834393,3.7355602723378,0.00484764785739422,0.00573032063676706,0.0515789569749482
"GRU - Attn_AbsPE_H80","train","ent",0.0673320328357033,0.00767077405176625,150.87702086345,8.77773642937634,7.93809462606987e-14,0.0444077146666685,0.0902563510047382
"GRU - Attn_RoPE_H80","train","ent",0.0507451328357089,0.0076707740517662,150.877020622983,6.61538620395484,1.26781687370681e-08,0.0278208146661767,0.0736694510052412
"LSTM - Attn_AbsPE","train","ent",0.0388371805969038,0.00767077405176626,150.877020829035,5.06300672328645,2.42545022801632e-05,0.0159128624277962,0.0617614987660114
"LSTM - Attn_RoPE","train","ent",0.0272461791043668,0.00767077405176625,150.877020848874,3.55194650767913,0.00903967927441851,0.00432186093530377,0.0501704972734299
"LSTM - Attn_AbsPE_H80","train","ent",0.0659235731342125,0.00767077405176626,150.877020894701,8.59412266471766,2.12829753820643e-13,0.0429992549652414,0.0888478913031837
"LSTM - Attn_RoPE_H80","train","ent",0.0493366731342181,0.00767077405176622,150.877020770025,6.43177243929616,3.29150172673209e-08,0.0264123549649923,0.072260991303444
"Attn_AbsPE - Attn_RoPE","train","ent",-0.011591001492537,0.0062725887174991,77.2613875601471,-1.84788163461135,0.520597866775713,-0.0305805708344376,0.00739856784936365
"Attn_AbsPE - Attn_AbsPE_H80","train","ent",0.0270863925373087,0.0062725887174991,77.2613875832728,4.31821593240185,0.000880190034209138,0.0080968231955591,0.0460759618790583
"Attn_AbsPE - Attn_RoPE_H80","train","ent",0.0104994925373143,0.00627258871749911,77.2613877510281,1.67386911691231,0.635212750889821,-0.00849007680334264,0.0294890618779713
"Attn_RoPE - Attn_AbsPE_H80","train","ent",0.0386773940298457,0.0062725887174991,77.2613875656141,6.16609756701321,6.13197639776075e-07,0.0196878246879821,0.0576669633717092
"Attn_RoPE - Attn_RoPE_H80","train","ent",0.0220904940298513,0.0062725887174991,77.2613877202645,3.52175075152366,0.0122854434236203,0.00310092468899464,0.0410800633707079
"Attn_AbsPE_H80 - Attn_RoPE_H80","train","ent",-0.0165868999999944,0.00627258871749911,77.2613877409628,-2.64434681548954,0.127191404968985,-0.0355764693407174,0.00240266934072863
"SRN - GRU","test","ent",-0.0801066827587032,0.0343150456583933,57.3432612342831,-2.33444779751035,0.245949120296003,-0.184952478535515,0.024739113018109
"SRN - LSTM","test","ent",-0.038667899999958,0.0343150456583934,57.3432611368561,-1.12684973189012,0.917151997336463,-0.143513695783143,0.0661778957832275
"SRN - Attn_AbsPE","test","ent",0.00286257586217737,0.0349651750662505,61.774313248182,0.0818693416164364,0.999999971889988,-0.103696247782916,0.109421399507271
"SRN - Attn_RoPE","test","ent",0.0379685413793286,0.0349651750662502,61.7743127044507,1.08589593237808,0.929944462882084,-0.0685902822968725,0.14452736505553
"SRN - Attn_AbsPE_H80","test","ent",0.038339434482765,0.0349651750662504,61.774312778783,1.09650343263322,0.926810794018843,-0.0682193891891803,0.14489825815471
"SRN - Attn_RoPE_H80","test","ent",0.0635184310345602,0.0349651750662502,61.7743128594704,1.81661984858388,0.542262024318938,-0.0430403926327703,0.170077254701891
"GRU - LSTM","test","ent",0.0414387827587452,0.0343150456583933,57.3432613505557,1.20759806562022,0.888380975469022,-0.063407013010476,0.146284578527966
"GRU - Attn_AbsPE","test","ent",0.0829692586208805,0.0349651750662503,61.7743132169706,2.37291128855138,0.227663003941039,-0.0235895650260047,0.189528082267766
"GRU - Attn_RoPE","test","ent",0.118075224138032,0.03496517506625,61.7743127047828,3.37693787931305,0.0205545488549251,0.0115164004618568,0.224634047814207
"GRU - Attn_AbsPE_H80","test","ent",0.118446117241468,0.0349651750662502,61.7743127822727,3.38754537956817,0.019946776808166,0.0118872935697291,0.225004940913207
"GRU - Attn_RoPE_H80","test","ent",0.143625113793263,0.0349651750662501,61.7743128630438,4.10766179551884,0.00219116136034481,0.0370662901261414,0.250183937460385
"LSTM - Attn_AbsPE","test","ent",0.0415304758621353,0.0349651750662505,61.7743132199125,1.1877668504003,0.89614476311,-0.0650283477845806,0.148089299508851
"LSTM - Attn_RoPE","test","ent",0.0766364413792865,0.0349651750662501,61.7743128330268,2.19179344116196,0.314897321314145,-0.0299223822895576,0.183195265048131
"LSTM - Attn_AbsPE_H80","test","ent",0.077007334482723,0.0349651750662504,61.7743129035396,2.20240094141708,0.309302450504919,-0.0295514891820877,0.183566158147534
"LSTM - Attn_RoPE_H80","test","ent",0.102186331034518,0.0349651750662502,61.7743129704261,2.92251735736774,0.0684461044851747,-0.00437249262646468,0.208745154695501
"Attn_AbsPE - Attn_RoPE","test","ent",0.0351059655171512,0.0343150456583933,57.3432607269262,1.0230487776887,0.946554127292209,-0.0697398302928066,0.139951761327109
"Attn_AbsPE - Attn_AbsPE_H80","test","ent",0.0354768586205876,0.0343150456583934,57.3432607479129,1.03385724657808,0.943879964377142,-0.069368937187993,0.140322654429168
"Attn_AbsPE - Attn_RoPE_H80","test","ent",0.0606558551723829,0.0343150456583934,57.3432607046979,1.76761691580458,0.574708437145743,-0.0441899406390217,0.165501650983787
"Attn_RoPE - Attn_AbsPE_H80","test","ent",0.000370893103436416,0.0343150456583933,57.3432604943307,0.0108084688893805,1,-0.104474902721711,0.105216688928583
"Attn_RoPE - Attn_RoPE_H80","test","ent",0.0255498896552316,0.0343150456583934,57.3432604226202,0.744568138115888,0.989027246665239,-0.0792959061745997,0.130395685485063
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","ent",0.0251789965517952,0.0343150456583935,57.3432604106133,0.733759669226505,0.98984027902136,-0.079666799278818,0.130024792382409
