"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - Attn_RoPE","train","ent",0.0232136166666565,0.0368903078207724,79.1606656877205,0.629260584634787,0.995639901128784,-0.0883967481129155,0.134823981446228
"SRN - Attn_AbsPE_H80","train","ent",0.0397428166666549,0.0368903078207724,79.1606656880195,1.07732407275486,0.932942799443268,-0.0718675481129115,0.151353181446221
"SRN - Attn_RoPE_H80","train","ent",0.0209086166666811,0.0368903078207724,79.160665706198,0.566778048268486,0.997552499674147,-0.0907017481122272,0.132518981445589
"GRU - LSTM","train","ent",0.00961088333333961,0.0368903078207724,79.1606656879908,0.260525972839073,0.999972576264668,-0.101999481446223,0.121221248112902
"GRU - Attn_AbsPE","train","ent",-0.0264318499999916,0.0368903078207724,79.1606656873332,-0.716498494087061,0.991210593834565,-0.138042214779588,0.0851785147796043
"GRU - Attn_RoPE","train","ent",0.0110347333333157,0.0368903078207724,79.1606656877791,0.299122831582939,0.999938102096924,-0.100575631446259,0.12264509811289
"GRU - Attn_AbsPE_H80","train","ent",0.0275639333333141,0.0368903078207724,79.1606656880654,0.747186319703009,0.989025452315176,-0.0840464314462492,0.139174298112877
"GRU - Attn_RoPE_H80","train","ent",0.00872973333334023,0.0368903078207724,79.160665706196,0.236640295216638,0.9999844725737,-0.102880631445575,0.120340098112255
"LSTM - Attn_AbsPE","train","ent",-0.0360427333333312,0.0368903078207724,79.1606656865864,-0.977024466926135,0.957532156891902,-0.147653098112942,0.0755676314462796
"LSTM - Attn_RoPE","train","ent",0.00142384999997607,0.0368903078207724,79.1606656871366,0.0385968587438654,0.99999999969648,-0.110186514779618,0.11303421477957
"LSTM - Attn_AbsPE_H80","train","ent",0.0179530499999745,0.0368903078207724,79.1606656872702,0.486660346863936,0.998961707295508,-0.093657314779613,0.129563414779562
"LSTM - Attn_RoPE_H80","train","ent",-0.000881149999999379,0.0368903078207724,79.1606657063089,-0.0238856776224355,0.999999999982968,-0.112491514778893,0.110729214778894
"Attn_AbsPE - Attn_RoPE","train","ent",0.0374665833333073,0.0368903078207724,79.1606656865971,1.01562132567,0.948961666940506,-0.0741437814462997,0.149076948112914
"Attn_AbsPE - Attn_AbsPE_H80","train","ent",0.0539957833333057,0.0368903078207724,79.1606656869331,1.46368481379007,0.765086471023575,-0.0576145814462939,0.165606148112905
"Attn_AbsPE - Attn_RoPE_H80","train","ent",0.0351615833333318,0.0368903078207724,79.160665704877,0.9531387893037,0.962303913022511,-0.0764487814456195,0.146771948112283
"Attn_RoPE - Attn_AbsPE_H80","train","ent",0.0165291999999984,0.0368903078207724,79.1606656871774,0.44806348812007,0.999351924657738,-0.0950811647795951,0.128139564779592
"Attn_RoPE - Attn_RoPE_H80","train","ent",-0.00230499999997545,0.0368903078207724,79.1606657054925,-0.0624825363663009,0.999999994545904,-0.113915364778903,0.109305364778952
"Attn_AbsPE_H80 - Attn_RoPE_H80","train","ent",-0.0188341999999738,0.0368903078207724,79.1606657051731,-0.510546024486372,0.99863799688396,-0.130444564778913,0.0927761647789653
"SRN - GRU","test","ent",0.0121822833333405,0.0368903078207724,79.1606656868981,0.330229918181405,0.999889426918076,-0.0994280814462609,0.123792648112942
"SRN - LSTM","test","ent",0.0218197500000139,0.0368903078207724,79.160665686213,0.59147649583253,0.996898773300002,-0.0897906147796192,0.133430114779647
"SRN - Attn_AbsPE","test","ent",-0.0142631833333171,0.0368903078207724,79.1606656857361,-0.38663768821375,0.999722941437778,-0.125873548112964,0.0973471814463301
"SRN - Attn_RoPE","test","ent",0.0233347333333231,0.0368903078207724,79.1606656860017,0.632543741480618,0.995514032279019,-0.0882756314463184,0.134945098112965
"SRN - Attn_AbsPE_H80","test","ent",0.0334407833333216,0.0368903078207724,79.1606656863007,0.906492390787034,0.970512106629201,-0.078169581446307,0.14505114811295
"SRN - Attn_RoPE_H80","test","ent",0.0202484833333479,0.0368903078207724,79.1606657043239,0.548883555857625,0.997953761575251,-0.0913618814456105,0.131858848112306
"GRU - LSTM","test","ent",0.00963746666667334,0.0368903078207724,79.160665686272,0.261246577651125,0.999972125192794,-0.101972898112952,0.121247831446299
"GRU - Attn_AbsPE","test","ent",-0.0264454666666576,0.0368903078207724,79.1606656856144,-0.716867606395154,0.991186470498482,-0.138055831446316,0.0851648981130004
"GRU - Attn_RoPE","test","ent",0.0111524499999826,0.0368903078207724,79.1606656860603,0.302313823299213,0.999934119809226,-0.100457914779658,0.122762814779623
"GRU - Attn_AbsPE_H80","test","ent",0.0212584999999811,0.0368903078207724,79.1606656863466,0.576262472605629,0.997315860671652,-0.0903518647796475,0.13286886477961
"GRU - Attn_RoPE_H80","test","ent",0.0080662000000074,0.0368903078207724,79.160665704322,0.21865363767622,0.99999028247487,-0.103544164778967,0.119676564778982
