"contrast","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"GRU - Attn_RoPE_H80","ent",0.0311005331226411,0.010896005586436,133.129629098661,2.85430590833735,0.0724099629681869,-0.00152136669936009,0.0637224329446424
"LSTM - Attn_AbsPE","ent",0.0452476506227459,0.0108960055864354,133.129627720008,4.15268239941756,0.00112144261879799,0.0126257507955496,0.0778695504499422
"LSTM - Attn_RoPE","ent",0.0433305168726924,0.0108960055864355,133.129627739006,3.97673409112738,0.00214955168886921,0.0107086170455699,0.075952416699815
"LSTM - Attn_AbsPE_H80","ent",0.069782455622759,0.0108960055864355,133.129627696701,6.40440710764978,4.9975260707491e-08,0.0371605557954803,0.102404355450038
"LSTM - Attn_RoPE_H80","ent",0.0410787506227247,0.010896005586436,133.129629324204,3.77007429895796,0.0044739885990287,0.00845685080156767,0.0737006504438816
"Attn_AbsPE - Attn_RoPE","ent",-0.00191713375005346,0.0105286392701613,116.353659423054,-0.182087513956976,0.999996800069397,-0.0335090641874624,0.0296747966873555
"Attn_AbsPE - Attn_AbsPE_H80","ent",0.0245348050000131,0.0105286392701613,116.353659420346,2.33029210807383,0.238702853597725,-0.00705712543741178,0.056126735437438
"Attn_AbsPE - Attn_RoPE_H80","ent",-0.00416890000002126,0.0105286392701613,116.35365946405,-0.395958099907187,0.99968858154718,-0.0357608304372355,0.027423030437193
"Attn_RoPE - Attn_AbsPE_H80","ent",0.0264519387500666,0.0105286392701613,116.353659409873,2.5123796220308,0.164496881393083,-0.00513999168740742,0.0580438691875406
"Attn_RoPE - Attn_RoPE_H80","ent",-0.00225176624996779,0.0105286392701613,116.353659459924,-0.21387058595021,0.99999166926608,-0.0338436966872045,0.0293401641872689
"Attn_AbsPE_H80 - Attn_RoPE_H80","ent",-0.0287037050000344,0.0105286392701613,116.353659450427,-2.72625020798102,0.100917421889639,-0.060295635437315,0.00288822543724629
